"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 54;Luiz;Outros;43005;24;0,069935659193542;3;;;;;;00:00:03;3;;;3;"
"Vídeo 32;Luiz;iPad;42994;1024;6,77376813331735;718;233;210;85;56;48;00:00:07;720;;;719;1"
"Vídeo 32;Luiz;Outros;42994;0;0,00999080845622028;1;1;1;1;;;00:00:17;1;;;1;"
"Vídeo 32;Luiz;iPod;42994;0;0,109898893018423;13;3;3;1;1;1;00:00:04;13;;;13;"
"Vídeo 32;Luiz;Tablet Android;42994;1294;4,56579946449267;568;216;192;99;72;63;00:00:07;587;2;1;584;13"
"Vídeo 12;Osvaldo;Smartphone Android;42984;540809;598,24961035847;229509;124150;97533;79470;75567;70814;00:00:18;235404;1788;478;235004;3228"
"Vídeo 12;Osvaldo;Tablet Android;42984;3454;5,49494465092115;2252;1225;920;729;690;650;00:00:20;2290;14;1;2290;23"
"Vídeo 23;Osvaldo;Outros;42990;42;0,0299724253686608;5;2;2;2;2;2;00:00:28;6;1;;6;"
"Vídeo 51;Osvaldo;Smartphone Android;43004;276425;715,637300937119;103321;42159;40657;33947;27697;25701;00:00:07;104832;109;47;104646;1169"
"Vídeo 52;Marcos;iPad;43004;2752;18,8422882490459;1960;656;599;323;193;129;00:00:08;1965;;;1963;3"
"Vídeo 52;Marcos;Outros;43004;0;0,0499530441385098;1;1;1;;;1;00:00:05;1;;;1;"
"Vídeo 51;Osvaldo;iPod;43004;0;0,109896697104722;13;7;7;7;6;6;00:00:16;14;;;14;1"
"Vídeo 51;Osvaldo;Desktop;43004;29060;110,636002157972;13137;4025;3779;2272;1837;1680;00:00:07;13217;11;1;13202;48"
"Vídeo 51;Osvaldo;iPhone;43004;49218;152,736427757908;20851;7593;7284;5902;4670;4274;00:00:07;21034;8;5;21008;144"
"Vídeo 51;Osvaldo;Tablet Android;43004;1216;8,6718484624453;947;306;286;208;155;146;00:00:07;955;1;;955;7"
"Vídeo 51;Osvaldo;Outros;43004;26;0,0499530441385098;;;;;;;00:00:00;0;;;;"
"Vídeo 51;Osvaldo;iPad;43004;1920;12,1585709433133;1263;422;397;263;201;179;00:00:08;1270;1;;1269;5"
"Vídeo 52;Marcos;Desktop;43004;57919;192,41912602154;29939;11034;10347;6806;4939;3861;00:00:08;30118;8;8;30072;104"
"Vídeo 52;Marcos;Smartphone Android;43004;129598;502,257877595061;55112;22486;21033;14693;10958;8153;00:00:08;55874;58;22;55775;583"
"Vídeo 52;Marcos;iPod;43004;0;0,0599436529662118;10;5;4;3;3;3;00:00:12;11;;;11;1"
"Vídeo 12;Osvaldo;iPad;42984;7165;17,3540342884546;3994;2207;1643;1239;1158;1066;00:00:20;4040;24;6;4040;16"
"Vídeo 55;Osvaldo;iPhone;43006;87764;308,771228771229;37592;16993;12960;8124;6535;3184;00:00:09;37846;14;30;37824;188"
"Vídeo 12;Osvaldo;iPhone;42984;182573;287,00595452184;85225;46470;36883;30129;28698;26723;00:00:17;86833;416;222;86770;907"
"Vídeo 55;Osvaldo;iPod;43006;0;0,14985014985015;12;6;4;3;3;2;00:00:11;12;;;12;"
"Vídeo 55;Osvaldo;Desktop;43006;11065;23,3566433566434;3829;1303;1003;690;592;406;00:00:07;3879;3;3;3869;24"
"Vídeo 55;Osvaldo;iPad;43006;1558;8,3016983016983;686;230;167;111;80;43;00:00:08;689;;1;689;2"
"Vídeo 55;Osvaldo;Outros;43006;0;0,0699300699300699;2;1;;;;;00:00:09;2;;;2;"
"Vídeo 55;Osvaldo;Tablet Android;43006;1346;4,85514485514486;627;244;185;123;100;58;00:00:10;631;1;;631;3"
"Vídeo 55;Osvaldo;Smartphone Android;43006;254273;654,495504495505;103371;43477;33822;21399;17046;9393;00:00:09;104411;89;76;104273;737"
"Vídeo 52;Marcos;iPhone;43004;59967;274,921573720703;29278;9852;9145;5562;3793;2856;00:00:07;29494;14;9;29462;161"
"Vídeo 52;Marcos;Tablet Android;43004;2550;11,4492377165464;1222;475;419;271;202;168;00:00:08;1241;2;1;1241;16"
"Vídeo 14;Osvaldo;iPad;42985;2553;11,3992846724079;1300;410;297;191;142;103;00:00:08;1317;2;;1310;8"
"Vídeo 42;Marcos;Tablet Android;42999;1472;4,98531380502328;853;343;243;119;81;55;00:00:09;855;1;;855;1"
"Vídeo 42;Marcos;Desktop;42999;81053;248,356544847843;44254;16643;12179;7257;5645;4507;00:00:09;44493;24;12;44421;130"
"Vídeo 14;Osvaldo;iPod;42985;20;0,0799248706216157;4;1;1;1;1;1;00:00:05;4;;;4;"
"Vídeo 14;Osvaldo;Desktop;42985;64313;180,55028273423;31058;9941;7054;4631;3531;3014;00:00:07;31346;53;16;31294;167"
"Vídeo 14;Osvaldo;Tablet Android;42985;2432;9,73085299818171;1253;420;296;196;147;117;00:00:07;1281;5;1;1275;16"
"Vídeo 14;Osvaldo;Smartphone Android;42985;260834;628,559154394869;92277;32971;25048;18110;14275;11649;00:00:06;94450;378;82;94089;1352"
"Vídeo 14;Osvaldo;Outros;42985;0;0,0499530441385098;1;1;1;1;1;;00:00:53;3;;;3;2"
"Vídeo 14;Osvaldo;iPhone;42985;54202;169,630547285552;21014;6069;4410;3043;2348;1802;00:00:06;21328;40;13;21255;188"
"Vídeo 42;Marcos;iPhone;42999;71160;226,606989429936;38366;13496;10084;6201;4642;3138;00:00:08;38536;19;10;38508;113"
"Vídeo 50;Marcos;Desktop;43003;12798;71,6526465122785;6187;1982;1144;652;468;383;00:00:07;6217;2;1;6211;21"
"Vídeo 50;Marcos;iPod;43003;30;0,149859132415529;18;11;7;5;4;2;00:00:17;18;;;18;"
"Vídeo 50;Marcos;Outros;43003;0;0,0599436529662118;3;3;2;1;1;1;00:00:24;3;;;3;"
"Vídeo 50;Marcos;Smartphone Android;43003;221340;765,520410813835;97116;36197;19278;11440;7639;5781;00:00:07;98201;205;28;98071;722"
"Vídeo 50;Marcos;Tablet Android;43003;2176;14,8560353267928;1662;597;313;184;130;98;00:00:08;1677;2;2;1677;11"
"Vídeo 50;Marcos;iPhone;43003;30203;131,796111655044;15207;5600;3057;1958;1347;1038;00:00:07;15354;31;9;15341;94"
"Vídeo 50;Marcos;iPad;43003;2112;15,9649929066677;1230;391;192;89;59;49;00:00:07;1234;1;;1233;2"
"Vídeo 42;Marcos;Outros;42999;56;0,189821567726337;;;;;;;00:00:00;0;;;;"
"Vídeo 42;Marcos;Smartphone Android;42999;201705;512,648110775871;96416;36530;26993;16155;12127;8948;00:00:08;97052;63;30;96932;423"
"Vídeo 33;Osvaldo;iPod;42995;28;0,0999060882770196;10;9;9;5;4;4;00:00:16;11;;;11;1"
"Vídeo 11;Luiz;iPhone;42984;167529;242,54201051012;77537;46604;25735;21088;19889;17965;00:00:18;78519;96;116;78292;537"
"Vídeo 11;Luiz;Desktop;42984;80373;85,010090514916;33416;19643;10759;8949;8503;7871;00:00:20;33663;36;22;33581;107"
"Vídeo 11;Luiz;iPod;42984;91;0,0799248706216157;38;23;15;12;12;12;00:00:33;38;;;38;"
